Factor_Name,Return
F01,0.054812747423395314
F02,0.13577949165726735
F03,-0.07512679363033348
F04,0.04767084239807458
F05,-0.002344872850773773
F06,-0.2501520003211906
F07,0.02162620635013195
F08,0.05832614622321144
F09,-0.11015934327231591
F10,-0.5759712510589989
I01,-0.048525008610728365
I02,0.038788518042681984
I03,0.2756678143326528
I04,0.05212989665006269
I05,-0.14714948855415158
I06,-0.003877568516392753
I07,0.016164681237412746
I08,-0.2836444783442101
I09,-0.12001438871007601
I10,-0.05938695675605044
I11,-0.06104163927754825
I12,-0.2730189049756397
I13,0.0008990530284299082
I14,0.18299842520627357
I15,0.13671604136605459
I16,0.11194332034806045
I17,-0.08895629318425935
I18,-0.2555130180684735
I19,-0.2783999890950158
I20,-0.31960631947798085
Residual,-0.8134075575925799
